word,freq
wirelessinternet,34660
kitchen,32764
heating,32394
smokedetector,29987
essentials,29777
airconditioning,26801
hangers,23389
carbonmonoxidedetector,22982
shampoo,22275
laptopfriendlyworkspace,21285
washer,21021
hairdryer,21020
dryer,20473
internet,20393
iron,18821
family/kidfriendly,17960
fireextinguisher,15045
firstaidkit,13439
translationmissing:en.hosting_amenity_50,12281
cabletv,11791
freeparkingonpremises,11406
translationmissing:en.hosting_amenity_49,9881
24-hourcheck-in,9178
lockonbedroomdoor,8652
buzzer/wirelessintercom,8289
safetycard,5647
selfcheck-in,5383
elevator,5225
petsallowed,4985
petsliveonthisproperty,4702
indoorfireplace,4571
breakfast,3966
gym,3673
privateentrance,3595
elevatorinbuilding,3130
hottub,3090
pool,3073
dog(s),2515
wheelchairaccessible,2409
refrigerator,2253
doorman,2119
hotwater,2107
dishesandsilverware,2104
bedlinens,2072
suitableforevents,2072
microwave,1937
cookingbasics,1933
oven,1900
smokingallowed,1816
coffeemaker,1757
cat(s),1722
lockbox,1595
stove,1580
shampootv,1504
extrapillowsandblankets,1494
bathtub,1431
privatelivingroom,1247
irontv,1183
dishwasher,1150
essentialstv,1099
step-freeaccess,1037
lockboxtv,990
keypad,858
longtermstaysallowed,838
luggagedropoffallowed,829
room-darkeningshades,732
hostgreetsyou,623
patioorbalcony,595
children’sbooksandtoys,582
gardenorbackyard,556
smartlock,551
pack’nplay/travelcrib,547
widedoorway,514
keypadtv,497
bathtubtv,381
well-litpathtoentrance,371
hangerstv,369
ethernetconnection,349
stovetv,346
babysitterrecommendations,344
children’sdinnerware,324
highchair,318
bbqgrill,315
windowguards,307
shampoointernet,286
dryertv,261
singlelevelhome,252
gameconsole,248
outletcovers,241
widehallwayclearance,223
doormanentry,218
essentialsinternet,214
ironinternet,205
crib,197
wideclearancetobed,194
lockboxinternet,189
otherpet(s),188
flat,185
smoothpathwaytofrontdoor,185
accessible-heightbed,173
heatingtv,165
doormantv,163
stairgates,161
smartlocktv,158
babybath,156
wideentryway,154
cleaningbeforecheckout,130
accessible-heighttoilet,126
pocketwifi,120
changingtable,119
fireplaceguards,119
othertv,81
hotwaterkettle,79
keypadinternet,79
hangersinternet,72
stoveinternet,66
handheldshowerhead,64
babymonitor,63
bathtubinternet,55
wideclearancetoshower&toilet,53
firmmattress,50
dryerinternet,49
beachessentials,47
tvtv,47
tablecornerguards,42
fixedgrabbarsforshower&toilet,39
freeparkingonstreet,38
privatebathroom,35
heatinginternet,31
cribtv,30
waterfronttv,28
waterfront,26
refrigeratortv,25
doormaninternet,22
evcharger,19
oventv,19
kitchentv,18
other,18
pathtoentrancelitatnight,16
smartlockinternet,16
otherinternet,15
bathtubwithshowerchair,13
washer/dryer,13
firmmatress,12
disabledparkingspot,11
groundflooraccess,9
lockboxkitchen,9
skiin/skiout,9
tvinternet,9
washertv,9
beachfronttv,8
lakeaccess,8
airpurifier,7
beachfront,7
cribinternet,7
flatsmoothpathwaytofrontdoor,7
shampookitchen,7
ironkitchen,6
waterfrontinternet,5
elevatortv,4
essentialskitchen,4
bathtubkitchen,3
beachfrontinternet,3
cat(s)tv,3
dog(s)tv,3
dryerkitchen,3
paidparkingoffpremises,3
refrigeratorinternet,3
dishwashertv,2
keypadkitchen,2
kitcheninternet,2
lockboxheating,2
roll-inshowerwithchair,2
bathtubessentialstv,1
dog(s)internet,1
dryerwasher,1
elevatorinternet,1
essentialsgym,1
essentialsheating,1
grab-railsforshowerandtoilet,1
gymtv,1
hangerskitchen,1
ironpool,1
ironshampoo,1
keypadessentials,1
keypadpool,1
keypadstove,1
keypadwasher,1
lockboxdoorman,1
microwavetv,1
oveninternet,1
ovenkitchen,1
shampoowasher,1
smartlockessentials,1
smartlockkitchen,1
smartlockwasher,1
washerinternet,1
